ID,Módulo,Funcionalidade,Caso de Teste,Pré-condições,Passos,Resultado Esperado,Tipo,Criticidade,Prioridade
COLAB-013,Eventos Colaborativos,Presentes Coletivos,Definir valor de contribuição,Presente coletivo criado,1. Acessar evento 2. Definir valor por participante ou divisão igual,Valor por pessoa calculado e exibido,Positivo,Alta,Alta
COLAB-014,Eventos Colaborativos,Presentes Coletivos,Registrar contribuição,Participante adicionado,"1. Participante acessa evento 2. Marca contribuição como paga",Status atualizado. Organizador vê progresso de arrecadação,Positivo,Alta,Alta
COLAB-015,Eventos Colaborativos,Presentes Coletivos,Visualizar progresso de arrecadação,Contribuições parciais,"1. Acessar evento como organizador",Barra de progresso mostra valor arrecadado vs. total,Positivo,Média,Média
COLAB-016,Eventos Colaborativos,Viagens em Grupo,Criar viagem em grupo,Usuário logado,"1. Acessar ""Planeje seu rolê"" 2. Selecionar ""Viagens em Grupo"" 3. Preencher: destino, datas, orçamento 4. Salvar",Evento de viagem criado,Positivo,Alta,Alta
COLAB-017,Eventos Colaborativos,Viagens em Grupo,Adicionar participantes,Viagem criada,"1. Acessar viagem 2. Adicionar participantes",Participantes adicionados. Convites enviados,Positivo,Alta,Alta
COLAB-018,Eventos Colaborativos,Viagens em Grupo,Gerenciar custos compartilhados,Viagem com participantes,1. Adicionar despesas 2. Dividir entre participantes,"Custos divididos. Cada participante vê seu ""deve"" ou ""receber""",Positivo,Alta,Alta
COLAB-019,Eventos Colaborativos,Geral,Compartilhar link do evento,Evento colaborativo criado,1. Clicar em compartilhar 2. Copiar link,Link copiado. Pode ser acessado por convidados,Positivo,Alta,Alta
COLAB-020,Eventos Colaborativos,Geral,Acessar evento via link,Link compartilhado,1. Abrir link em navegador,Página do evento carregada. Se não logado solicita login/registro,Positivo,Alta,Alta
COLAB-021,Eventos Colaborativos,Geral,Editar evento colaborativo,Organizador do evento,1. Acessar evento 2. Clicar editar 3. Alterar dados 4. Salvar,Dados atualizados. Participantes notificados se houver mudanças significativas,Positivo,Alta,Alta
COLAB-022,Eventos Colaborativos,Geral,Excluir evento colaborativo,Organizador do evento,"1. Acessar evento 2. Clicar excluir 3. Confirmar","Evento removido. Participantes notificados do cancelamento",Positivo,Alta,Alta
COLAB-023,Eventos Colaborativos,Convites,Status de convites,Convites enviados,"1. Acessar aba de participantes","Status de cada convite visível (Pendente, Visualizado, Aceito, Recusado)",Positivo,Média,Média
COLAB-024,Eventos Colaborativos,Convites,Reenviar convite,Convite não respondido,1. Clicar em reenviar convite,Novo email enviado. Status atualizado,Positivo,Média,Média
PERF-001,Perfil,Visualizar,Visualizar perfil,Usuário logado,"1. Acessar ""Meu Perfil""","Dados do usuário exibidos (nome, email, data de nascimento, signo calculado, preferências)",Positivo,Média,Média
PERF-002,Perfil,Editar,Editar nome,Usuário logado,1. Acessar Perfil 2. Editar nome 3. Salvar,Nome atualizado no perfil e exibições do sistema,Positivo,Média,Média
PERF-003,Perfil,Data de Nascimento,Inserir data de nascimento,Usuário logado,1. Acessar Perfil 2. Preencher data de nascimento 3. Salvar,"Data salva. Signo calculado automaticamente e exibido",Positivo,Alta,Alta
PERF-004,Perfil,Data de Nascimento,Signo calculado automaticamente,Data de nascimento preenchida,1. Inserir data de nascimento 15/03/1990 2. Salvar,"Sistema exibe ""Peixes"" como signo automaticamente",Positivo,Média,Média
PERF-005,Perfil,Data de Nascimento,Atualizar data de nascimento,Data já existente,1. Alterar data de nascimento 2. Salvar,Signo recalculado com base na nova data,Positivo,Média,Média
PERF-006,Perfil,Questionário,Preencher questionário completo,Usuário logado,1. Acessar Perfil 2. Responder todas as perguntas 3. Salvar,Todas as preferências salvas. Perfil marcado como completo,Positivo,Alta,Alta
PERF-007,Perfil,Questionário,Selecionar múltiplos interesses,Usuário logado,"1. Marcar vários interesses (música, tecnologia, esportes) 2. Salvar",Todos os interesses salvos,Positivo,Média,Média
PERF-008,Perfil,Questionário,Preencher Presentes a Evitar,Usuário logado,1. Preencher campo de presentes a evitar 2. Salvar,Preferência salva. Amigos Secretos podem visualizar,Positivo,Alta,Alta
PERF-009,Perfil,Alterar Senha,Alterar senha com sucesso,Usuário logado,1. Acessar Perfil 2. Clicar alterar senha 3. Digitar senha atual 4. Digitar nova senha 5. Confirmar,Senha alterada com sucesso,Positivo,Alta,Alta
PERF-010,Perfil,Alterar Senha,Alterar senha com atual incorreta,Usuário logado,1. Tentar alterar senha com senha atual errada,"Mensagem ""Senha atual incorreta""",Negativo,Alta,Alta
PERF-011,Perfil,Alterar Senha,Novas senhas não coincidem,Usuário logado,1. Digitar nova senha diferente da confirmação,"Mensagem ""As senhas não coincidem""",Negativo,Alta,Alta
ADMIN-001,Admin,Acesso,Acessar painel admin,Usuário com role admin,1. Fazer login como admin 2. Acessar /admin,Painel administrativo carregado,Positivo,Crítica,Alta
ADMIN-002,Admin,Acesso,Tentar acessar admin sem permissão,Usuário comum,1. Fazer login como usuário comum 2. Tentar acessar /admin,Acesso negado. Redirecionado para Início,Negativo,Crítica,Alta
ADMIN-003,Admin,Usuários,Listar usuários,Admin logado,1. Acessar seção Usuários,Lista de todos os usuários exibida,Positivo,Alta,Alta
ADMIN-004,Admin,Usuários,Buscar usuário,Admin logado,1. Digitar nome ou email na busca,Resultados filtrados exibidos,Positivo,Média,Média
ADMIN-005,Admin,Usuários,Editar usuário,Admin logado,1. Selecionar usuário 2. Editar dados 3. Salvar,Dados do usuário atualizados,Positivo,Alta,Alta
ADMIN-006,Admin,Usuários,Alterar role do usuário,Admin logado,1. Selecionar usuário 2. Alterar role para admin/user 3. Salvar,Role atualizado. Usuário tem novas permissões,Positivo,Alta,Alta
ADMIN-007,Admin,Passes VIP,Criar Passe VIP,Admin logado,"1. Acessar seção Passes VIP 2. Clicar ""Novo Passe"" 3. Preencher código e limite 4. Salvar",Passe criado e disponível para uso,Positivo,Alta,Alta
ADMIN-008,Admin,Passes VIP,Desativar Passe VIP,Passe ativo,1. Selecionar passe 2. Clicar desativar,Passe desativado. Não pode mais ser usado para registro,Positivo,Alta,Alta
ADMIN-009,Admin,Passes VIP,Visualizar uso de passes,Passes com uso,1. Acessar lista de passes,Exibe: código, limite, usados, status,Positivo,Média,Média
ADMIN-010,Admin,Lista de Espera,Visualizar lista de espera,Emails na lista,1. Acessar seção Lista de Espera,Lista de emails com status e data de inscrição,Positivo,Média,Média
ADMIN-011,Admin,Lista de Espera,Aprovar email da lista,Email pendente na lista,1. Selecionar email 2. Clicar aprovar,"Passe VIP gerado e enviado para o email",Positivo,Alta,Alta
ADMIN-012,Admin,Configurações,Alterar limite diário de buscas,Admin logado,1. Acessar Configurações 2. Alterar limite de buscas 3. Salvar,Novo limite aplicado para todos os usuários,Positivo,Média,Média
ADMIN-013,Admin,Logs,Visualizar logs de auditoria,Admin logado,1. Acessar seção Logs,Lista de ações recentes com usuário e timestamp,Positivo,Baixa,Baixa
FAQ-001,FAQ,Visualizar,Acessar página FAQ,Usuário logado ou não logado,1. Acessar página de Ajuda/FAQ,Página carregada com informações conceituais sobre o sistema,Positivo,Baixa,Baixa
FAQ-002,FAQ,Conteúdo,Verificar conteúdo conceitual,Página FAQ acessada,1. Ler conteúdo da FAQ,"Conteúdo explica conceitos (o que é, para que serve) em vez de passos procedurais",Positivo,Baixa,Baixa
